Coach,Club,Appearance
Sir Alex Ferguson,Manchester United,190
Carlo Ancelotti,FC Bayern Munchen,12
Carlo Ancelotti,Juventus,10
Carlo Ancelotti,Chelsea FC,18
Carlo Ancelotti,AC Milan,73
Carlo Ancelotti,Real Madrid CF,38
Carlo Ancelotti,Paris Saint-Germain,10
Carlo Ancelotti,Parma FC,6
Carlo Ancelotti,SSC Napoli,12
Arsene Wenger,Arsenal FC,171
Arsene Wenger,AS Monaco FC,7
Josep Guardiola,Manchester City FC,62
Josep Guardiola,FC Barcelona,49
Josep Guardiola,FC Bayern Munchen,36
Jose Mourinho,Tottenham Hotspur,4
Jose Mourinho,Manchester United,14
Jose Mourinho,Real Madrid CF,32
Jose Mourinho,Chelsea FC,57
Jose Mourinho,FC Internazionale Milano,21
Jose Mourinho,FC Porto,17
Mircea Lucescu,Besiktas JK,6
Mircea Lucescu,FC Shakhtar Donetsk,68
Mircea Lucescu,FC Dynamo Kyiv,12
Mircea Lucescu,FC Internazionale Milano,3
Mircea Lucescu,Galatasaray AS,26
Louis van Gaal,FC Bayern Munchen,21
Louis van Gaal,AFC Ajax,32
Louis van Gaal,FC Barcelona,36
Louis van Gaal,Manchester United,6
Ottmar Hitzfeld,FC Bayern Munchen,76
Ottmar Hitzfeld,Borussia Dortmund,19
Rafael Benitez,SSC Napoli,6
Rafael Benitez,Valencia CF,14
Rafael Benitez,Real Madrid CF,6
Rafael Benitez,Liverpool FC,62
Rafael Benitez,FC Internazionale Milano,6
Rafael Benitez,Chelsea FC,1
Massimiliano Allegri,AC Milan,32
Massimiliano Allegri,Juventus,62
Jurgen Klopp,Borussia Dortmund,35
Jurgen Klopp,Liverpool FC,57
Diego Simeone,Club Atletico de Madrid,87
Fabio Capello,Real Madrid CF,8
Fabio Capello,Juventus,20
Fabio Capello,AC Milan,26
Fabio Capello,AS Roma,24
Marcello Lippi,Juventus,76
Ronald Koeman,AFC Ajax,26
Ronald Koeman,AZ Alkmaar,5
Ronald Koeman,FC Barcelona,11
Ronald Koeman,SL Benfica,10
Ronald Koeman,Valencia CF,3
Ronald Koeman,PSV Eindhoven,13
Manuel Pellegrini,Malaga CF,10
Manuel Pellegrini,Manchester City FC,26
Manuel Pellegrini,Villarreal CF,22
Manuel Pellegrini,Real Madrid CF,8
Roberto Mancini,SS Lazio,6
Roberto Mancini,Manchester City FC,12
Roberto Mancini,Galatasaray AS,7
Roberto Mancini,FC Internazionale Milano,36
Vicente del Bosque,Real Madrid CF,60
Javier Iruretagoyena Amiano,Real Club Deportivo La Coruna,58
Luciano Spalletti,AS Roma,30
Luciano Spalletti,FC Internazionale Milano,6
Luciano Spalletti,FC Zenit,21
Oleg Romantsev,FC Spartak Moskva,56
Fatih Terim,Galatasaray AS,53
Zinedine Zidane,Real Madrid CF,53
Hector Cuper,FC Internazionale Milano,18
Hector Cuper,Valencia CF,34
Thomas Tuchel,Borussia Dortmund,10
Thomas Tuchel,Chelsea FC,17
Thomas Tuchel,Paris Saint-Germain,25
Unai Emery,Valencia CF,13
Unai Emery,Villarreal CF,12
Unai Emery,Sevilla FC,6
Unai Emery,Paris Saint-Germain,16
Unai Emery,FC Spartak Moskva,5
Jorge Jesus,SL Benfica,39
Jorge Jesus,Sporting Clube de Portugal,10
Nils Arne Eggen,Rosenborg BK,49
Claude Puel,Olympique Lyonnais,28
Claude Puel,LOSC Lille,14
Claude Puel,AS Monaco FC,6
Claudio Ranieri,Juventus,8
Claudio Ranieri,FC Internazionale Milano,7
Claudio Ranieri,AS Roma,7
Claudio Ranieri,Chelsea FC,12
Claudio Ranieri,Valencia CF,6
Claudio Ranieri,Leicester City FC,7
Jupp Heynckes,FC Bayern Munchen,36
Jupp Heynckes,Real Madrid CF,11
Guus Hiddink,PSV Eindhoven,32
Guus Hiddink,Real Madrid CF,6
Guus Hiddink,Chelsea FC,8
Laurent Blanc,FC Girondins de Bordeaux,16
Laurent Blanc,Paris Saint-Germain,30
Didier Deschamps,AS Monaco FC,21
Didier Deschamps,Olympique de Marseille,24
Mauricio Pochettino,Paris Saint-Germain,14
Mauricio Pochettino,Tottenham Hotspur,31
Yuri Semin,FC Lokomotiv Moskva,38
Yuri Semin,FC Dynamo Kyiv,7
Ernesto Valverde,Valencia CF,2
Ernesto Valverde,Olympiacos FC,6
Ernesto Valverde,Athletic Club,6
Ernesto Valverde,FC Barcelona,28
Felix Magath,VfB Stuttgart,8
Felix Magath,FC Schalke 04,8
Felix Magath,FC Bayern Munchen,24
Thomas Schaaf,SV Werder Bremen,40
