Coach,Appearance
Sir Alex Ferguson,190
Carlo Ancelotti,179
Arsene Wenger,178
Josep Guardiola,147
Jose Mourinho,145
Mircea Lucescu,115
Louis van Gaal,95
Ottmar Hitzfeld,95
Rafael Benitez,95
Massimiliano Allegri,94
Jurgen Klopp,92
Diego Simeone,87
Fabio Capello,78
Marcello Lippi,76
Ronald Koeman,68
Manuel Pellegrini,66
Roberto Mancini,61
Vicente del Bosque,60
Javier Iruretagoyena Amiano,58
Luciano Spalletti,57
Oleg Romantsev,56
Fatih Terim,53
Zinedine Zidane,53
Hector Cuper,52
Thomas Tuchel,52
Unai Emery,52
Jorge Jesus,49
Nils Arne Eggen,49
Claude Puel,48
Claudio Ranieri,47
Jupp Heynckes,47
Guus Hiddink,46
Laurent Blanc,46
Didier Deschamps,45
Mauricio Pochettino,45
Yuri Semin,45
Ernesto Valverde,42
Felix Magath,40
Thomas Schaaf,40
