Player,Appearances
Aaron Ramsey,58
Adriano,56
Adrien Rabiot,55
Aleksandar Kolarov,57
Aleksandr Hleb,58
Aleksei Berezutski,55
Alessandro Costacurta,65
Alessandro Del Piero,88
Alessandro Nesta,99
Alessio Tacchinardi,77
Alex,66
Alex Sandro,74
Alexis Sanchez,64
Andrea Pirlo,108
Andriy Pyatov,72
Andriy Shevchenko,100
Andres Iniesta,130
Angelo Peruzzi,56
Anthony Reveillere,72
Antoine Griezmann,79
Antonis Nikopolidis,61
Arjen Robben,110
Arturo Vidal,83
Ashley Cole,108
Axel Witsel,65
Bacary Sagna,57
Bastian Schweinsteiger,95
Bent Skammelsrud,55
Bernardo Silva,66
Bixente Lizarazu,62
Blaise Matuidi,68
Branislav Ivanovic,64
Cafu,55
Carles Puyol,115
Casemiro,81
Cesc Fabregas,104
Christian Panucci,74
Clarence Seedorf,125
Claude Makelele,96
Claudio Pizarro,73
Cris,59
Cristiano Ronaldo,183
Cesar Azpilicueta,70
Daley Blind,56
Dani Alves,111
Dani Carvajal,11
Daniele De Rossi,61
Danilo,57
Darijo Srna,63
Darren Fletcher,62
David Alaba,103
David Albelda,57
David Beckham,107
David Silva,70
David Trezeguet,58
David de Gea,55
Deco,75
Dejan Stankovic,87
Denis Irwin,59
Dida,72
Didier Deschamps,61
Didier Drogba,92
Diego Godin,64
Dimitar Berbatov,60
Douglas Costa,76
Eden Hazard,58
Ederson,60
Edgar Davids,74
Edin Dzeko,62
Edinson Cavani,70
Edwin van der Sar,98
Emerson,62
Emmanuel Eboue,66
Erik Hoftun,60
Esteban Cambiasso,79
Fabinho,64
Fabio Cannavaro,61
Fernandinho,103
Fernando,70
Fernando Hierro,68
Fernando Morientes,93
Fernando Torres,79
Filippo Inzaghi,81
Florent Malouda,83
Francesco Totti,57
Franck Ribery,87
Frank Lampard,105
Frank de Boer,81
Fredrik Ljungberg,64
Gareth Bale,66
Gary Neville,109
Gael Clichy,73
Gennaro Gattuso,79
Gerard Pique,124
Gianluca Pessotto,67
Gianluca Zambrotta,70
Gianluigi Buffon,124
Gilberto Silva,57
Giorgio Chiellini,74
Giovane Elber,69
Gonzalo Higuain,83
Gregory Coupet,61
Guti,97
Hasan Salihamidzic,88
Hernan Crespo,65
Hugo Lloris,64
Igor Akinfeev,60
Iker Casillas,177
Isco,72
Ivan Rakitic,85
Ivan Cordoba,60
Ivan Helguera,87
Jaap Stam,62
James Milner,65
Jamie Carragher,80
Jan Oblak,69
Jari Litmanen,57
Javi Martinez,66
Javier Mascherano,96
Javier Saviola,56
Javier Zanetti,97
Jefferson Farfan,60
Jens Lehmann,67
Jesus Navas,64
Joe Cole,57
John Arne Riise,74
John Obi Mikel,59
John O'Shea,71
John Terry,109
Jordi Alba,82
Joshua Kimmich,61
Jose Bosingwa,64
Joao Moutinho,61
Juan Veron,60
Julian Draxler,62
Juninho Pernambucano,59
Jerome Boateng,85
Jorg Butt,62
Julio Cesar,64
Kakha Kaladze,70
Kaka,86
Karim Benzema,142
Kevin De Bruyne,60
Keylor Navas,63
Koke,82
Kolo Toure,67
Leonardo Bonucci,78
Lilian Thuram,67
Lionel Messi,156
Lucas Moura,57
Lucho Gonzalez,63
Luis Suarez,73
Luisao,61
Luka Modric,107
Luis Figo,103
Lucio,83
Maicon Sisenando,60
Manuel Neuer,128
Marc Overmars,56
Marc-Andre ter Stegen,71
Marcelo,102
Marco Reus,56
Marco Verratti,72
Mario Gotze,62
Mario Mandzukic,60
Mark van Bommel,76
Marquinhos,73
Martin Demichelis,67
Massimo Ambrosini,82
Mateo Kovacic,57
Mathieu Flamini,55
Mats Hummels,73
Maxi Pereira,57
Maxwell,94
Mehmet Scholl,70
Mesut Ozil,69
Michael Ballack,93
Michael Carrick,70
Michael Essien,76
Michael Reiziger,74
Mikael Silvestre,82
Miralem Pjanic,83
Mohamed Salah,71
Michel Salgado,81
Nani,60
Nemanja Matic,56
Neymar Jr,75
Nicky Butt,67
Nicolas Anelka,68
Nicolas Otamendi,65
Nwankwo Kanu,60
Ole Gunnar Solskjaer,77
Olexandr Shovkovskiy,77
Oliver Kahn,103
Paolo Maldini,109
Paolo Montero,56
Patrice Evra,108
Patrick Kluivert,71
Patrick Vieira,76
Paul Pogba,57
Paul Scholes,124
Pavel Nedved,74
Pedro Rodriguez,76
Pepe,109
Pepe Reina,76
Petr Cech,111
Phil Neville,59
Philipp Lahm,112
Phillip Cocu,79
Predrag Djordjevic,62
Rafinha,72
Raheem Sterling,73
Raphael Varane,88
Raul Albiol,71
Raul Gonzalez,142
Ricardo Carvalho,86
Ricardo Quaresma,60
Rio Ferdinand,93
Rivaldo,73
Roar Strand,71
Robert Lewandowski,106
Robert Pires,82
Roberto Carlos,120
Robin van Persie,59
Roque Santa Cruz,61
Roy Keane,71
Roy Makaay,61
Ruud van Nistelrooy,73
Ryan Giggs,141
Sadio Mane,13
Sami Khedira,77
Samir Nasri,58
Samuel Eto'o,78
Samuel Kuffour,72
Santiago Canizares,65
Santiago Solari,61
Saul Niguez,64
Sergei Ignashevich,81
Sergio Aguero,79
Sergio Busquets,125
Ramos,129
Seydou Keita,62
Sidney Govou,73
Steven Gerrard,73
Sylvain Wiltord,76
Theo Walcott,59
Thiago Alcantara,75
Thiago Motta,82
Thiago Silva,97
Thibaut Courtois,65
Thierry Henry,112
Thomas Muller,10
Tomas Hubschman,62
Tomas Rosicky,70
Toni Kroos,127
Victor Valdes,106
Vitor Baia,56
Walter Samuel,72
Wayne Rooney,85
Wes Brown,63
Wesley Sneijder,76
William Gallas,71
Willian,71
Willy Sagnol,64
Wojciech Szczesny,64
Xabi Alonso,119
Xavi Hernandez,151
Yaroslav Rakits'kyy,70
Yaya Toure,70
Zinedine Zidane,80
Zlatan Ibrahimovic,124
Ze Roberto,62
Alvaro Arbeloa,68
Alvaro Morata,67
Angel Di Maria,99
Eric Abidal,62
Ilkay Gundogan,74
